121312,123761,123869,121705,126001,126109,123524,123682,122372,123185,121256
28094,27864,27764,27667,28087,28066,27753,27798,27875,27768,27834
27994,27893,27804,28181,28161,28466,27870,27718,28086,27890,29885
23130,23200,23281,23629,23407,23304,23137,23150,23491,23098,23078
22939,23112,23030,23370,23454,23112,22898,23246,22971,22999,23035
23342,23673,23847,23646,24008,23668,23901,23563,23479,23516,23739
24121,24293,24380,24363,24293,24456,24249,24223,24366,24220,24111
25140,25234,25803,25263,25761,25553,25636,25372,25627,25640,25247
27435,27722,27619,27521,27765,27583,27759,27666,27737,27954,27555
32973,32918,33149,33734,33221,33241,32820,32908,32947,32854,33169
42095,41648,42133,42682,41935,41967,42028,42060,42029,41919,41969
57478,57413,57860,57024,57552,57562,57710,59226,57529,57256,57385
92761,98880,98872,91262,93978,98370,96481,92822,94058,93223,97008
199978,201347,200972,199846,201017,196686,200934,199782,201727,192346,200207
